instance_name, exec_time, random_seed, constraints_type, hot_start, solution_value,size
"1.atsp",5.422746383,"982150","claus","none",39.0,
"10.atsp",132.596596765,"754314","claus","none",14422.0,
"2.atsp",47.739038787,"220673","claus","none",6905.0,
"3.atsp",8.844534819,"490463","claus","none",1286.0,
"4.atsp",17.103835316,"171021","claus","none",1530.0,
"5.atsp",119.080142638,"785428","claus","none",1776.0,
"6.atsp",122.263569618,"187906","claus","none",1608.0,
"7.atsp",253.78078436,"318883","claus","none",1839.0,
"8.atsp",714.469772767,"112019","claus","none",1950.0,
"9.atsp",1302.118272216,"1044984488_2464469435_1609301001_3223555185","claus","none",5620.0,

"1.atsp",6.782640767,"811381","claus",none,39.0,
"10.atsp",127.809113339,"383268","claus",none,14422.0,
"2.atsp",48.547814895,"805895","claus",none,6905.0,
"3.atsp",9.084768271,"734059","claus",none,1286.0,
"4.atsp",17.244271189,"258238","claus",none,1530.0,
"5.atsp",120.200805824,"372322","claus",none,1776.0,
"6.atsp",126.201112285,"470060","claus",none,1608.0,
"7.atsp",244.906132257,"897880","claus",none,1839.0,
"8.atsp",682.730819314,"654291","claus",none,1950.0,
"9.atsp",2385.466432465,"606482","claus",none,5620.0,

"1.atsp",6.843823526,"754469","claus","none",39.0,
"10.atsp",145.580430187,"754469","claus","none",14422.0,
"2.atsp",50.797635609,"754469","claus","none",6905.0,
"3.atsp",10.092274499,"754469","claus","none",1286.0,
"4.atsp",18.718805218,"754469","claus","none",1530.0,
"5.atsp",128.675131353,"754469","claus","none",1776.0,
"6.atsp",128.601831631,"754469","claus","none",1608.0,
"7.atsp",257.828232135,"754469","claus","none",1839.0,
"8.atsp",776.467289218,"754469","claus","none",1950.0,
"9.atsp",1060.638906518,"754469","claus","none",5620.0,

"1.atsp",7.371160768,"821607","mtz","none",39.0,
"10.atsp",60.424907252,"821607","mtz","none",14422.0,
"2.atsp",34.102921889,"821607","mtz","none",6905.0,
"3.atsp",8.275006061,"821607","mtz","none",1286.0,
"4.atsp",8.117811741,"821607","mtz","none",1530.0,
"5.atsp",14.674092174,"821607","mtz","none",1776.0,
"6.atsp",11.984475071,"821607","mtz","none",1608.0,
"7.atsp",24.665392273,"821607","mtz","none",1839.0,
"8.atsp",34.517183392,"821607","mtz","none",1950.0,
"1.atsp",7.822735106,"544075","mtz","none",39.0,
"10.atsp",65.479724505,"544075","mtz","none",14422.0,
"2.atsp",35.769354162,"544075","mtz","none",6905.0,
"3.atsp",8.599614605,"544075","mtz","none",1286.0,
"4.atsp",8.352678299,"544075","mtz","none",1530.0,
"5.atsp",17.304857151,"544075","mtz","none",1776.0,
